Unnamed: 0,Title,Year,Age,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,type,Exclusive,StreamPL
0,Breaking Bad,2008,18+,9.5,96%,1,0,0,0,1,1,N
1,Stranger Things,2016,16+,8.8,93%,1,0,0,0,1,1,N
2,Money Heist,2017,18+,8.4,91%,1,0,0,0,1,1,N
3,Sherlock,2010,16+,9.1,78%,1,0,0,0,1,1,N
4,Better Call Saul,2015,18+,8.7,97%,1,0,0,0,1,1,N
5,The Office,2005,16+,8.9,81%,1,0,0,0,1,1,N
6,Black Mirror,2011,18+,8.8,83%,1,0,0,0,1,1,N
7,Supernatural,2005,16+,8.4,93%,1,0,0,0,1,1,N
8,Peaky Blinders,2013,18+,8.8,92%,1,0,0,0,1,1,N
9,Avatar: The Last Airbender,2005,7+,9.2,100%,1,0,0,0,1,1,N
10,The Walking Dead,2010,18+,8.2,81%,1,0,0,0,1,1,N
11,Dark,2017,16+,8.7,94%,1,0,0,0,1,1,N
12,Ozark,2017,18+,8.4,81%,1,0,0,0,1,1,N
14,Narcos,2015,18+,8.8,89%,1,0,0,0,1,1,N
17,Mindhunter,2017,18+,8.6,96%,1,0,0,0,1,1,N
19,Dexter,2006,18+,8.6,72%,1,0,0,0,1,1,N
20,Marvel's Daredevil,2015,18+,8.6,92%,1,0,0,0,1,1,N
21,The Witcher,2019,18+,8.3,67%,1,0,0,0,1,1,N
24,Outlander,2014,18+,8.4,91%,1,0,0,0,1,1,N
25,House of Cards,2013,18+,8.7,78%,1,0,0,0,1,1,N
26,Shameless,2011,18+,8.6,85%,1,0,0,0,1,1,N
28,The Haunting,2018,18+,8.7,93%,1,0,0,0,1,1,N
29,The Blacklist,2013,16+,8.0,91%,1,0,0,0,1,1,N
30,The Flash,2014,7+,7.7,89%,1,0,0,0,1,1,N
31,The Last Kingdom,2015,18+,8.4,91%,1,0,0,0,1,1,N
32,Mad Men,2007,16+,8.6,94%,1,0,0,0,1,1,N
33,Lucifer,2016,16+,8.2,87%,1,0,0,0,1,1,N
34,Orange Is the New Black,2013,18+,8.1,90%,1,0,0,0,1,1,N
36,The End of the F***ing World,2017,18+,8.1,93%,1,0,0,0,1,1,N
38,The Vampire Diaries,2009,7+,7.7,85%,1,0,0,0,1,1,N
39,The Crown,2016,18+,8.7,89%,1,0,0,0,1,1,N
40,The 100,2014,16+,7.7,92%,1,0,0,0,1,1,N
41,When They See Us,2019,18+,8.9,96%,1,0,0,0,1,1,N
43,After Life,2019,18+,8.5,70%,1,0,0,0,1,1,N
44,Elite,2018,18+,7.6,97%,1,0,0,0,1,1,N
45,BoJack Horseman,2014,18+,8.7,93%,1,0,0,0,1,1,N
46,Never Have I Ever,2020,16+,8.0,97%,1,0,0,0,1,1,N
47,Penny Dreadful,2014,18+,8.2,91%,1,0,0,0,1,1,N
48,Marvel's Agents of S.H.I.E.L.D.,2013,16+,7.5,94%,1,0,0,0,1,1,N
49,Dead to Me,2019,18+,8.1,91%,1,0,0,0,1,1,N
50,Unorthodox,2020,18+,8.1,94%,1,0,0,0,1,1,N
51,Sense8,2015,18+,8.3,86%,1,0,0,0,1,1,N
52,Sacred Games,2018,18+,8.7,92%,1,0,0,0,1,1,N
53,American Crime Story,2016,18+,8.4,93%,1,0,0,0,1,1,N
56,Unbelievable,2019,18+,8.4,97%,1,0,0,0,1,1,N
57,Arrow,2012,16+,7.6,85%,1,0,0,0,1,1,N
58,The IT Crowd,2006,16+,8.5,87%,1,0,0,0,1,1,N
60,YOU,2018,18+,7.8,91%,1,0,0,0,1,1,N
61,Sex Education,2019,16+,8.3,94%,1,0,0,0,1,1,N
62,"Tiger King: Murder, Mayhem and Madness",2020,18+,7.8,86%,1,0,0,0,1,1,N
64,Broadchurch,2013,18+,8.4,92%,1,0,0,0,1,1,N
65,Kingdom,2019,18+,8.4,96%,1,0,0,0,1,1,N
66,Altered Carbon,2018,18+,8.1,64%,1,0,0,0,1,1,N
67,The Sinner,2017,16+,8.0,95%,1,0,0,0,1,1,N
